இலக்கம்,பெயர்,அறிமுக வருடம்,அறிமுக படம்,பிறந்த திகதி,பிறந்த இடம்,அறிமுகம்,உள்ளடக்கம்
71,பாவனா,2006,சித்திரம் பேசுதடி,1986-06-06,"திருச்சூர், கேரளா  இந்தியா","பாவனா (பிறப்பு - ஜூன் 6, 1986, திருச்சூர், கேரளா) தமிழ், மலையாளத் திரைப்பட நடிகையாவார். தமிழ் திரையுலகில் சித்திரம் பேசுதடி திரைப்படத்தின் மூலம் பாவனா அறிமுகமானவர் . வெயில் திரைப்படத்தில் சிறப்பாக நடித்ததற்காக பாரட்டுகள் கிடைத்தது. தீபாவளி, ஜெயம் கொண்டான், அசல் ஆகிய திரைப்படங்கள் இவருக்கு ஏராளமான ரசிகர்களை பெற்று தந்தது.",
72,நயன்தாரா,2005,ஐயா,1984-11-18,"பெங்களூர், கருநாடகம், இந்தியா[4][5]","நயன்தாரா (Nayanthara, பிறப்பு: நவம்பர் 18, 1984; இயற்பெயர் - டயானா மரியா குரியன்), தென்னிந்தியத் திரைப்பட நடிகை ஆவார்.[9][10][11] 2003 ஆம் ஆண்டு மனசினகாரே என்ற மலையாள மொழித் திரைப்படம் மூலம் திரைப்படத்துறைக்கு அறிமுகமான நயன்தாரா, 2005 ஆம் ஆண்டு ஐயா திரைப்படத்தின் மூலம் தமிழ்த் திரைப்படத்துறைக்கு அறிமுகம் ஆனார். இவர் பெண்களை மையமாகக் கொண்டிருக்கும் கதைகளைத் தேர்ந்தெடுத்து நடித்துக் கொண்டிருக்கிறார், இதனால் இவர் தமிழ் சினிமாவில் 2010 களில் தொடங்கி இன்று வரை பெண் சூப்பர் ஸ்டார் என்று கருதப்படுகிறார்.[10]",
73,ஜெனிலியா,2003,பாய்ஸ்,1987-08-05,"மும்பை, இந்தியா","ஜெனிலியா (ஹரிணி) (பிறப்பு: ஆகஸ்ட் 5, 1987, இந்தியா) இந்தியத் திரைப்பட நடிகை ஆவார். தமிழ், தெலுங்கு, இந்தி, கன்னட மொழித் திரைப்படங்களில் நடித்து உள்ளார். இயக்குனர் சங்கர் தனது பாய்ஸ் திரைப்படத்தின் மூலம் ஜெனிலியாவை அறிமுகப்படுத்தினார். பின்னர், நடிகர் விஜய், பரத், ஜெயம் ரவி ஆகியோர் படங்களில் நடித்துள்ளார்.  சந்தோஷ் சுப்பிரமணியம் படத்தில் ஹாசினியாக குதூகலம், குறும்புத்தனம் மிக்கப் பெண்ணாக நடித்து அனைத்து தரப்பு மக்களையும் கவர்ந்தார்.","தன் காதலன் ரித்தேஷ் தேஷ்முக்கை மணந்து திரைத்துறையை விட்டுவிலகிய இவர் மறுபடியும், தயாரிப்பாளர் அர்பாஸ் கான் தயாரிக்கும் டாலி கி டோலி என்ற திரைப்படத்தில் இரண்டாவது கதாநாயகியாக நடிக்கிறார்.[1]"
74,சந்தியா,2004,காதல்,1988-09-27,"கேரளம்,","சந்தியா (பிறப்பு - 1989, கேரளம்; இயற்பெயர் - ரேவதி), தென்னிந்தியத் திரைப்பட நடிகை ஆவார். காதல் என்ற தமிழ்த் திரைப்படத்தில் 2004-ம் ஆண்டு அறிமுகமானார். தமிழ், மலையாளம், தெலுங்கு மற்றும் கன்னடம் ஆகிய 4 மொழித் திரைப்படங்களிலும் நடித்து உள்ளார்.","சந்தியா எனப்படும் இந்த நடிகையின் இயற்பெயர் ரேவதி என்பதாகும். இவர் தென்னிந்திய மொழிகள் அனைத்திலும் நடித்துள்ளார்.[சான்று தேவை] இவர் 2004  இல் வெளியான காதல் திரைப்படத்தில் அறிமுகம் ஆனார். இந்த படம் தமிழ்நாடு மாநில விருதையும், பிலிம்பேர் விருதையும் பெற்றது. இவர் தற்போது வரை காதல் சந்தியா என்றே அழைக்கப்படுகிறார். இவருடைய தகப்பனார் அஜித் இந்தியன் ஓவர்சீஸ் வங்கியில் வேலை பார்த்தவர் மற்றும் தாயார் அழகுக்கலை நிபுணர் ஆவார். இவருடைய தாய்மொழி மலையாளம் ஆகும். இவர் சென்னையில் வித்யோதய்யா பிரைமரி பெண்கள் பாடசாலையில் ஒன்பதாம் வகுப்பு வரை படித்துள்ளார். அப்போது காதல் திரைப்பட கதாநாயகியாக நடித்ததால், பின் பள்ளிப்படிப்பை நிறுத்திவிட்டு படங்களில் நடிக்க ஆர்வம் காட்டினார்.[சான்று தேவை]"
75,அனுஷ்கா செட்டி,2006,ரெண்டு,1981-11-07,"மங்களூர்,கர்நாடகா இந்தியா","அனுஷ்கா ஷெட்டி  ( ஸ்வீட்டி ஷெட்டி, பிறப்பு: நவம்பர் 7, 1981 )  இந்திய திரைப்பட நடிகையாவார். தமிழ், தெலுங்கு ஆகிய இரு மொழிகளில் மட்டும் நடித்துவருகிறார். இவர் நடித்த சில திரைப்படங்கள் மலையாளத்திலும், இந்தியிலும் மொழி மாற்றம் செய்து திரையிடப்பட்டுள்ளது.","2005-ல் இவர் நடித்த முதல் திரைப்படம் - நாகார்ஜூனாவுடன் இணைந்து நடித்த சூப்பர் எனும் தெலுங்கு திரைப்படமாகும். 2006-ல், ரெண்டு எனும் திரைப்படத்தில் மாதவனுடன் நடித்து தமிழில் அறிமுகமானார். கடந்த பத்து வருடங்களில் 40-க்கும் மேற்பட்ட திரைப்படங்களில் நடித்துள்ளார்."
76,வேதிகா குமார்,2005,மதராசி,,,வேதிகா தென்னிந்தியத் திரைப்பட திரைப்பட நடிகையாவார்.வேதிகா 2005 ஆம் ஆண்டு வெளியான மதராசி திரைப்படத்தின் மூலம் தமிழ்த் திரைப்படத்துறைக்கு அறிமுகமானார். இத்திரைப்படம் தெலுங்கில் சிவகாசி என மொழி பெயர்க்கப்பட்டு வெளியிடப்பட்டது.,
77,வி. என். ஜானகி,,,1924-09-23,"வைக்கம், கேரளா இந்தியா","ஜானகி இராமச்சந்திரன்  (செப்டம்பர் 23, 1924[1] – மே 19, 1996)  (Janaki Ramachandran) அல்லது வைக்கம் நாராயணி ஜானகி என்னும் வி. என். ஜானகி முன்னாள் திரைப்பட நடிகை , முன்னாள் தமிழ்நாடு முதல்வர் பிரபல நடிகரும் முன்னாள் தமிழக முதல்வருமாகிய எம். ஜி. இராமச்சந்திரனுக்கு மூன்றாவது மனைவி ஆவார்.",வைக்கம் நாராயணி ஜானகி கேரள மாநிலம் திருவாங்கூர் தனியரசிற்கு உட்பட்ட வைக்கம் என்னும் ஊரில் வாழ்ந்த நாயர் குலத்தைச் சேர்ந்த நாணி என்னும் நாராயணம்மாவிற்கு 1924 செப்டம்பர் 23ஆம் நாள் பிறந்தார்.[2] இவருக்கு மணி என்ற நாராயணன் என்னும் தம்பி இருந்தார்.
78,சௌந்தர்யா,,பொன்னுமணி,1972-07-18,"கோலார், கருநாடகம், இந்தியா","சௌந்தர்யா (சூலை 18, 1972 - ஏப்ரல் 17, 2004) இவர் ஒரு தென்னிந்தியத் திரைப்பட நடிகை ஆவார். பொன்னுமணி என்ற திரைப்படத்தின் மூலம் செளந்தர்யா அறிமுகமானார். தமிழ் முன்னணி கதாநாயகர்கள் பலருடன் செளந்தர்யா நடித்துள்ளார். ரஜினிகாந்த்துடன் அருணாச்சலம், படையப்பா ஆகிய திரைப்படங்களில் நடித்துப் புகழ் பெற்றார். 2004 ஆம் ஆண்டு பாரதிய ஜனதா கட்சிக்கு ஆதரவாக பொதுக்கூட்டங்களில் கலந்து கொள்ள உலங்கு வானூர்தியில் சென்ற போது ஏற்பட்ட விபத்தில் இறந்தார்.  மேலும் அப்போது  அவர் கர்ப்பவதியாக இறந்தார்.[1][2][3] இவர் தமிழ், தெலுங்கு, கன்னடம், மலையாள மொழிகளில் நூற்றுக்கும் மேற்பட்ட திரைப்படங்களில் நடித்துள்ளார்.",சவுந்தர்யா ஜூலை 18 1972 கோலார் மாவட்டத்தில் தற்போதைய காலத்தின் கர்நாடகத்தில் பிறந்தார். பெற்றோர்கள் கே.எஸ் சத்யநாராயண மற்றும் மஞ்சுளா ஆவர். அவரது தந்தை கன்னட திரைப்பட எழுத்தாளர்-தயாரிப்பாளர். பெங்களூரில் தனது முதல் வருடம் கழித்து தனது MBBS ஐ நிறுத்தினார்.
79,ரிச்சா பலோட்,2001,சாஜாகான்,1980-08-30,"மும்பை, இந்தியா","ரிச்சா பலோட் இந்திய திரைப்பட நடிகையும் மாடல் அழகியுமாவார். இவர் இந்தி, தமிழ், தெலுங்கு திரைப்படங்களில் நடித்துள்ளார். 1991 ஆம் ஆண்டு முதலாவதாக லம்மே என்ற இந்தி திரைப்படத்தில் நடித்தார். 2000 ஆம் ஆண்டு நுவ்வே கவாளி என்ற தொலுங்குப்படத்தின் மூலம் தெலுங்கு திரையுலகிற்கு அறிமுகமான பலோட் சாஜாகான் திரைப்படம் மூலமாக தமிழுக்கு அறிமுகமானார்.",
80,ரேணுகா மேனன்,2005,தாஸ்,,கேரளம்,"ரேணுகா மேனன் தென்னிந்தியத் திரைப்பட நடிகையாவார்.[1] இவர் தமிழ், மலையாளம், கன்னட, தெலுங்குத் திரைப்படங்களில் நடித்துள்ளார். நம்மள் என்ற மலையாளத் திரைப்படத்தின் மூலம் திரைப்படத்துறைக்கு அறிமுகமான ரேணுகா 2005 ஆம் ஆண்டு தாஸ் திரைப்படத்தின் மூலம் தமிழ்த் திரைப்படத்துறைக்கு அறிமுகமானார்.",
